Tier,Country,City,University,Latitude,Longitude,Course,MinCGPA,MinIELTS,GRE,TuitionUSD,LivingCostUSD,AvgSalaryUSD,AcceptanceRate,JobMarketScore,ROI,VisaDifficulty,SelectionDifficulty
Tier3,India,Delhi,Delhi College of Engineering 40,28.6864,77.113,Electrical,6.1,6.7,303,27538,17440,41787,40,90,0.93,2,91.3
Tier3,India,Delhi,Delhi Technical University 41,28.5903,77.2832,Computer Science,6.7,6.3,306,59334,15757,49256,59,64,0.66,8,95.2
Tier3,India,Delhi,Delhi National Institute of Technology 42,28.7,77.2161,Electrical,7.6,7.3,337,20345,10742,112262,8,74,3.61,1,115.2
Tier3,India,Delhi,Delhi University of Engineering 43,28.7515,77.2935,Civil,7.4,7.4,327,51811,13840,41645,63,93,0.63,7,99.1
Tier3,India,Delhi,Delhi Polytechnic University 44,28.7546,77.3273,Mechanical,8.1,7.0,324,24447,14641,55439,44,82,1.42,5,106.5
Tier2,India,Delhi,Delhi Technical University 45,28.7506,77.2235,Civil,8.9,7.8,299,609,20664,69545,83,58,3.27,2,88.2
Tier1,India,Delhi,Delhi Polytechnic University 46,28.7132,77.1837,Civil,6.8,6.9,306,55413,19183,100640,33,85,1.35,7,109.1
Tier1,India,Delhi,Delhi National Institute of Technology 47,28.7085,77.3278,Mechanical,6.3,7.8,310,45477,19615,119424,27,52,1.83,3,105.2
Tier3,India,Delhi,Delhi Technical University 48,28.5787,77.3439,Electrical,7.8,6.0,313,21459,13073,62673,42,82,1.81,8,108.0
Tier1,India,Delhi,Delhi Institute of Technology 49,28.6101,77.2071,Civil,8.1,6.6,323,21681,21459,77563,56,56,1.8,9,106.9
Tier3,India,Delhi,Delhi College of Engineering 50,28.4975,77.3043,AI & Data Science,8.9,6.3,309,8482,9617,47466,58,76,2.62,2,94.7
Tier1,India,Delhi,Delhi Technical University 51,28.6764,77.2764,Electrical,9.1,6.7,317,4367,21558,89267,82,58,3.44,1,83.3
Tier3,India,Delhi,Delhi Institute of Technology 52,28.6447,77.2285,Civil,6.6,6.1,308,11713,13770,107010,72,69,4.2,5,81.4
Tier2,India,Delhi,Delhi University of Engineering 53,28.6033,77.1285,AI & Data Science,6.9,6.5,315,30215,11621,126054,58,86,3.01,6,93.5
Tier2,India,Delhi,Delhi Institute of Technology 54,28.5138,77.3532,Mechanical,8.7,7.6,332,35791,20842,81314,53,65,1.44,1,99.4
Tier3,India,Delhi,Delhi University of Engineering 55,28.7096,77.1632,Computer Science,7.5,7.6,299,54974,9927,114498,58,84,1.76,10,108.9
Tier3,India,Delhi,Delhi University of Engineering 56,28.5803,77.1614,Computer Science,7.6,6.1,337,47100,13156,116051,7,94,1.93,9,126.9
Tier1,India,Delhi,Delhi College of Engineering 57,28.4794,77.1108,Electrical,7.0,6.7,336,13906,14028,73923,58,73,2.65,5,92.8
Tier1,India,Delhi,Delhi School of Technology 58,28.468,77.3249,Electrical,7.1,6.5,303,12821,20181,85899,5,60,2.6,9,127.0
Tier2,India,Delhi,Delhi University of Engineering 59,28.5689,77.1577,Civil,8.2,6.7,301,56049,17797,61698,11,50,0.84,6,124.3
Tier2,India,Delhi,Delhi Institute of Technology 60,28.5671,77.1772,Electrical,7.4,7.4,326,45574,11220,85431,7,75,1.5,6,125.1
Tier3,India,Mumbai,Mumbai Institute of Technology 1,18.9878,72.9435,Civil,7.5,8.0,335,1898,16558,114691,27,80,6.21,9,124.0
Tier1,India,Mumbai,Mumbai University of Engineering 2,19.0436,72.9846,Civil,7.7,7.0,336,30332,10610,113589,11,53,2.77,8,127.0
Tier2,India,Mumbai,Mumbai University of Engineering 3,19.1836,72.7774,Electrical,6.8,6.3,337,41554,17797,42054,60,61,0.71,6,91.2
Tier3,India,Mumbai,Mumbai Institute of Technology 4,19.0035,72.9599,Computer Science,7.7,7.7,312,53799,21025,116452,14,94,1.56,7,126.3
Tier3,India,Mumbai,Mumbai Polytechnic University 5,19.1046,72.8441,AI & Data Science,7.3,6.8,320,40515,8456,120306,48,60,2.46,3,95.7
Tier1,India,Mumbai,Mumbai College of Engineering 6,19.0215,72.9377,Civil,6.9,6.4,335,3490,20793,86457,42,57,3.56,3,95.1
Tier3,India,Mumbai,Mumbai School of Technology 7,18.9961,72.7365,Electrical,6.4,6.3,329,2112,21294,123629,78,93,5.28,10,88.2
Tier3,India,Mumbai,Mumbai School of Technology 8,19.2017,72.8087,Mechanical,6.4,7.0,291,51357,11102,47723,34,76,0.76,1,95.0
Tier3,India,Mumbai,Mumbai Technical University 9,19.1582,72.9716,Mechanical,6.4,6.3,316,7737,16286,100827,84,50,4.2,10,85.2
Tier1,India,Mumbai,Mumbai Institute of Technology 10,18.9568,72.8752,AI & Data Science,6.7,7.5,298,26128,16125,91705,14,52,2.17,7,120.5
Tier1,India,Mumbai,Mumbai University of Engineering 11,19.1972,72.9083,AI & Data Science,6.9,7.2,313,46809,17105,43584,76,57,0.68,7,89.3
Tier2,India,Mumbai,Mumbai Institute of Technology 12,19.0432,72.8262,Electrical,7.7,7.1,318,33807,18295,68778,80,64,1.32,6,88.9
Tier1,India,Mumbai,Mumbai Institute of Technology 13,18.9793,72.8633,Computer Science,6.8,7.4,324,27538,18186,116959,34,80,2.56,1,98.6
Tier3,India,Mumbai,Mumbai Polytechnic University 14,19.0517,72.8941,Electrical,7.6,6.5,298,9686,15883,56408,24,77,2.21,1,104.0
Tier3,India,Mumbai,Mumbai National Institute of Technology 15,19.135,72.7455,Mechanical,7.6,7.2,312,50642,16976,81468,65,89,1.2,3,90.3
Tier3,India,Mumbai,Mumbai School of Technology 16,19.0089,73.0169,Electrical,8.6,7.0,331,49757,11438,69250,46,60,1.13,6,110.0
Tier3,India,Mumbai,Mumbai College of Engineering 17,19.0702,72.8671,AI & Data Science,7.3,6.9,312,24740,18767,74481,62,90,1.71,7,97.1
Tier2,India,Mumbai,Mumbai National Institute of Technology 18,19.145,73.0009,Electrical,6.1,6.2,334,25866,12609,67197,64,68,1.75,9,91.3
Tier1,India,Mumbai,Mumbai College of Engineering 19,18.9547,72.7407,Mechanical,9.1,6.9,320,50428,18420,64167,38,51,0.93,6,116.1
Tier1,India,Mumbai,Mumbai Institute of Technology 20,19.1961,72.8491,Civil,6.3,6.7,339,55083,10623,43204,5,57,0.66,8,121.8
Tier1,India,Mumbai,Mumbai Technical University 21,19.1863,72.9897,Mechanical,8.9,6.6,311,21627,12452,116564,48,50,3.42,6,108.9
Tier2,India,Mumbai,Mumbai School of Technology 22,19.1489,72.8218,Civil,8.5,7.1,326,18565,12787,85405,24,73,2.72,4,116.9
Tier1,India,Mumbai,Mumbai Institute of Technology 23,19.1611,73.0089,AI & Data Science,9.2,7.8,297,11160,11334,94783,55,86,4.21,7,113.7
Tier2,India,Mumbai,Mumbai Polytechnic University 24,18.9385,72.7524,Electrical,8.3,7.5,320,20346,17063,123452,29,77,3.3,3,113.0
Tier1,India,Mumbai,Mumbai Polytechnic University 25,19.1025,72.9675,Computer Science,9.3,7.5,291,22645,10653,116287,48,78,3.49,5,112.5
Tier1,India,Mumbai,Mumbai Technical University 26,19.1211,72.8682,Computer Science,8.8,7.5,296,52102,18529,79859,52,82,1.13,6,110.0
Tier2,India,Mumbai,Mumbai Technical University 27,19.0769,72.8792,Electrical,7.2,7.6,305,36212,19610,107680,73,70,1.93,6,91.9
Tier2,India,Mumbai,Mumbai Polytechnic University 28,19.1841,72.7336,Civil,9.0,7.8,295,40150,12740,53561,37,93,1.01,1,109.7
Tier3,India,Mumbai,Mumbai Polytechnic University 29,19.149,72.7387,Mechanical,7.1,7.4,295,34302,18465,65508,13,100,1.24,5,118.6
Tier2,India,Mumbai,Mumbai National Institute of Technology 30,19.2222,73.0206,Mechanical,9.3,6.5,330,17563,15522,58053,75,83,1.75,6,97.0
Tier1,India,Mumbai,Mumbai National Institute of Technology 31,18.9847,72.9929,AI & Data Science,6.6,6.9,306,42619,11150,56534,48,67,1.05,5,96.6
Tier1,India,Mumbai,Mumbai Institute of Technology 32,18.9879,72.7992,Computer Science,6.5,6.6,331,24961,20473,55539,87,86,1.22,2,69.4
Tier2,India,Mumbai,Mumbai College of Engineering 33,19.0755,72.9779,AI & Data Science,7.1,6.3,326,59216,17719,101717,31,79,1.32,6,107.2
Tier3,India,Mumbai,Mumbai University of Engineering 34,18.9309,72.8235,Civil,6.6,6.2,336,8731,18165,44814,12,58,1.67,9,119.8
Tier3,India,Mumbai,Mumbai School of Technology 35,19.2087,72.7369,Civil,6.7,7.2,325,30121,8784,46666,38,54,1.2,1,95.3
Tier1,India,Mumbai,Mumbai College of Engineering 36,19.1878,72.7459,Electrical,8.5,6.1,311,21785,15898,80363,89,80,2.13,8,88.4
Tier1,India,Mumbai,Mumbai University of Engineering 37,19.0913,72.9168,AI & Data Science,8.3,7.6,333,39631,17180,92035,40,81,1.62,5,111.9
Tier2,India,Mumbai,Mumbai School of Technology 38,19.0774,72.7976,Civil,7.0,6.5,340,16474,8957,80660,75,54,3.17,7,87.5
Tier1,India,Mumbai,Mumbai College of Engineering 39,19.1721,72.765,Electrical,6.6,7.9,333,12512,10536,121377,44,75,5.27,4,100.6
Tier1,India,Mumbai,Mumbai Polytechnic University 40,18.967,72.7664,Computer Science,7.2,6.9,299,53732,8272,95563,34,77,1.54,10,116.6
Tier2,India,Mumbai,Mumbai Polytechnic University 41,18.9359,72.905,Civil,7.7,7.4,331,9459,20701,62822,58,91,2.08,10,109.1
Tier3,India,Mumbai,Mumbai University of Engineering 42,19.1277,72.9741,Mechanical,8.6,6.9,325,27416,17351,56975,42,76,1.27,10,119.6
Tier2,India,Mumbai,Mumbai School of Technology 43,19.1246,72.9453,Mechanical,7.3,7.1,292,9560,19231,41926,19,81,1.46,4,113.4
Tier2,India,Mumbai,Mumbai National Institute of Technology 44,19.1135,72.7622,Civil,8.5,6.1,293,652,9900,50157,63,60,4.75,3,91.4
Tier1,India,Mumbai,Mumbai Institute of Technology 45,18.9261,72.8831,Mechanical,6.8,7.9,308,40443,12733,60033,31,77,1.13,7,114.1
Tier2,India,Mumbai,Mumbai Institute of Technology 46,19.2195,72.729,Mechanical,7.7,7.9,312,21601,10096,51040,79,75,1.61,8,96.6
Tier1,India,Mumbai,Mumbai College of Engineering 47,19.1265,72.8868,AI & Data Science,6.4,6.9,326,21618,10540,114390,38,91,3.56,2,94.6
Tier2,India,Mumbai,Mumbai National Institute of Technology 48,19.1278,72.8754,Computer Science,7.6,7.0,335,28794,19680,84517,8,86,1.74,1,114.0
Tier3,India,Mumbai,Mumbai University of Engineering 49,19.0661,72.8337,Computer Science,6.9,7.6,320,57754,14176,52929,50,56,0.74,8,105.9
Tier1,India,Mumbai,Mumbai Institute of Technology 50,19.0811,72.8254,Electrical,7.8,6.8,328,39554,16292,82336,80,93,1.47,9,94.2
Tier3,India,Mumbai,Mumbai Technical University 51,19.1888,72.9508,Mechanical,6.5,7.4,333,28425,12262,116018,47,93,2.85,7,102.6
Tier3,India,Mumbai,Mumbai Polytechnic University 52,19.118,72.9068,AI & Data Science,6.5,6.8,314,14354,9776,59826,88,74,2.48,3,71.7
Tier1,India,Mumbai,Mumbai National Institute of Technology 53,19.059,72.8271,AI & Data Science,7.8,7.0,337,18231,16284,90173,45,59,2.61,6,106.5
Tier2,India,Mumbai,Mumbai College of Engineering 54,18.9505,72.9453,AI & Data Science,8.3,6.8,327,44370,17093,95741,25,60,1.56,5,116.2
Tier2,India,Mumbai,Mumbai Polytechnic University 55,18.9417,72.8995,Civil,7.8,7.0,340,9347,9668,55127,49,57,2.9,5,102.5
Tier2,India,Mumbai,Mumbai College of Engineering 56,19.2248,72.9757,Mechanical,7.5,6.6,306,14851,8899,98352,65,89,4.14,2,85.4
Tier1,India,Mumbai,Mumbai Polytechnic University 57,19.1607,72.8573,Electrical,6.2,7.1,321,39082,20769,129117,49,75,2.16,5,94.9
Tier2,India,Mumbai,Mumbai Institute of Technology 58,19.0141,72.8765,Electrical,7.6,7.3,295,7675,11987,127270,13,80,6.47,4,118.7
Tier1,India,Mumbai,Mumbai Institute of Technology 59,19.015,72.812,AI & Data Science,8.3,8.0,296,58970,19595,69655,46,99,0.89,7,114.5
Tier1,India,Mumbai,Mumbai Polytechnic University 60,18.944,72.8287,Civil,9.2,6.2,332,51872,21205,83742,49,92,1.15,4,104.3
Tier1,India,Bangalore,Bangalore National Institute of Technology 1,13.0883,77.6132,Civil,8.6,7.0,304,34302,9183,90132,83,86,2.07,3,85.5
Tier1,India,Bangalore,Bangalore School of Technology 2,12.8232,77.4699,Computer Science,7.7,6.0,314,44457,14026,51146,26,54,0.87,4,107.5
Tier2,India,Bangalore,Bangalore University of Engineering 3,12.8743,77.4705,Computer Science,6.1,6.6,317,45953,18852,81715,70,72,1.26,3,77.9
Tier1,India,Bangalore,Bangalore University of Engineering 4,12.8735,77.5425,Civil,6.1,6.4,306,38379,19356,50570,76,73,0.88,3,74.1
Tier1,India,Bangalore,Bangalore College of Engineering 5,12.8238,77.4768,AI & Data Science,8.2,7.8,320,50181,18855,62758,59,76,0.91,8,108.7
Tier3,India,Bangalore,Bangalore College of Engineering 6,13.0186,77.611,Computer Science,8.9,7.6,300,31703,16581,46317,90,65,0.96,6,91.9
Tier1,India,Bangalore,Bangalore Polytechnic University 7,12.9546,77.5742,Computer Science,8.2,7.7,310,22066,18674,100728,16,70,2.47,10,133.8
Tier2,India,Bangalore,Bangalore National Institute of Technology 8,12.8451,77.5614,Mechanical,7.7,7.8,330,59564,14041,129650,44,95,1.76,3,103.7
Tier2,India,Bangalore,Bangalore Institute of Technology 9,12.8589,77.6261,Civil,6.6,7.9,291,39679,14951,101074,11,54,1.85,5,119.1
Tier3,India,Bangalore,Bangalore College of Engineering 10,12.8813,77.737,Civil,6.2,7.0,311,24409,9894,44829,31,51,1.31,9,111.5
Tier1,India,Bangalore,Bangalore College of Engineering 11,13.1074,77.5453,Civil,8.5,6.7,301,57413,9665,106482,56,93,1.59,8,107.3
Tier3,India,Bangalore,Bangalore School of Technology 12,13.0345,77.5481,Civil,7.6,7.5,310,26443,19504,57878,23,72,1.26,6,118.5
Tier3,India,Bangalore,Bangalore Technical University 13,12.9384,77.6376,Computer Science,9.5,7.6,318,1925,16127,59373,40,67,3.29,3,113.9
Tier3,India,Bangalore,Bangalore National Institute of Technology 14,12.8927,77.7346,Mechanical,9.3,6.1,299,12107,13832,125803,15,76,4.85,5,123.4
Tier1,India,Bangalore,Bangalore Institute of Technology 15,13.0599,77.7159,Electrical,6.9,7.4,300,41566,14808,60823,30,67,1.08,9,117.1
Tier1,India,Bangalore,Bangalore School of Technology 16,12.8497,77.7446,Mechanical,6.1,6.5,316,14391,12836,100319,35,77,3.68,9,107.0
Tier1,India,Bangalore,Bangalore Polytechnic University 17,13.0577,77.681,AI & Data Science,9.1,7.4,338,49548,21123,128493,21,76,1.82,10,134.6
Tier2,India,Bangalore,Bangalore University of Engineering 18,13.0063,77.6056,Computer Science,7.7,7.1,327,40962,19275,114038,26,84,1.89,10,123.9
Tier1,India,Bangalore,Bangalore Institute of Technology 19,12.9477,77.6319,Civil,6.6,7.0,333,19759,21121,91613,45,88,2.24,6,100.5
Tier1,India,Bangalore,Bangalore Polytechnic University 20,12.9876,77.4548,Mechanical,8.1,7.6,334,12838,20267,83562,78,64,2.52,8,97.9
Tier3,India,Bangalore,Bangalore College of Engineering 21,12.9598,77.545,Electrical,7.7,7.9,300,7679,20227,84297,5,63,3.02,6,129.6
Tier3,India,Bangalore,Bangalore National Institute of Technology 22,12.8354,77.4954,AI & Data Science,7.9,7.0,295,35714,11034,51036,37,85,1.09,8,115.0
Tier2,India,Bangalore,Bangalore Technical University 23,13.0045,77.512,Electrical,9.0,7.4,307,47989,12037,67239,34,89,1.12,2,111.6
Tier1,India,Bangalore,Bangalore College of Engineering 24,12.9181,77.5914,AI & Data Science,9.1,7.5,306,9843,12649,119355,6,56,5.31,10,142.5
Tier3,India,Bangalore,Bangalore Polytechnic University 25,12.9835,77.4907,Mechanical,8.8,6.2,302,12454,12138,108645,87,90,4.42,9,93.3
Tier2,India,Bangalore,Bangalore College of Engineering 26,12.9055,77.6653,AI & Data Science,6.2,7.4,320,22986,8782,73264,62,78,2.31,1,81.6
Tier1,India,Bangalore,Bangalore Polytechnic University 27,13.0441,77.6401,Electrical,7.8,6.2,308,53124,10702,81962,11,64,1.28,4,116.3
Tier3,India,Bangalore,Bangalore Technical University 28,12.8353,77.7116,Computer Science,6.4,7.9,334,23783,19193,108584,62,73,2.53,7,96.6
Tier3,India,Bangalore,Bangalore National Institute of Technology 29,13.0948,77.5431,Civil,9.0,7.5,298,1692,16014,80261,89,82,4.53,2,84.5
Tier3,India,Bangalore,Bangalore Technical University 30,13.1181,77.6751,Electrical,8.1,7.1,315,27667,20319,124864,52,50,2.6,6,104.9
Tier1,India,Bangalore,Bangalore University of Engineering 31,12.8893,77.5853,Electrical,9.2,7.1,292,14041,10329,127527,77,76,5.23,7,99.9
Tier3,India,Bangalore,Bangalore University of Engineering 32,12.828,77.7217,Civil,6.4,7.0,305,55512,19085,98894,5,93,1.33,10,127.5
Tier1,India,Bangalore,Bangalore Polytechnic University 33,12.8422,77.6849,AI & Data Science,8.2,6.8,296,44755,13342,87788,5,84,1.51,10,135.7
Tier3,India,Bangalore,Bangalore College of Engineering 34,12.9228,77.6532,Civil,6.2,6.9,330,16922,13779,59810,50,80,1.95,7,97.6
Tier3,India,Bangalore,Bangalore Institute of Technology 35,12.9514,77.5505,AI & Data Science,7.0,6.6,314,25786,12768,49247,9,50,1.28,4,114.9
Tier1,India,Bangalore,Bangalore Polytechnic University 36,13.0826,77.4724,AI & Data Science,8.6,7.4,312,23653,19940,79915,49,67,1.83,3,104.1
Tier1,India,Bangalore,Bangalore Technical University 37,13.0068,77.6645,Electrical,6.9,6.0,298,26969,9188,127192,55,90,3.52,2,85.0
Tier1,India,Bangalore,Bangalore University of Engineering 38,12.8812,77.7281,Computer Science,8.0,7.4,340,47593,9483,102834,23,99,1.8,8,124.1
Tier2,India,Bangalore,Bangalore Institute of Technology 39,12.9568,77.7073,Computer Science,7.6,7.8,295,14898,21685,118658,63,91,3.24,10,107.7
Tier3,India,Bangalore,Bangalore School of Technology 40,13.075,77.565,Civil,8.5,7.4,340,5272,13710,72679,8,60,3.83,2,122.1
Tier2,India,Bangalore,Bangalore Polytechnic University 41,12.8531,77.4715,Computer Science,6.4,7.4,322,56795,19774,95400,62,96,1.25,3,86.6
Tier2,India,Bangalore,Bangalore Technical University 42,12.8791,77.4913,Mechanical,6.1,7.4,325,48082,10455,96239,52,78,1.64,2,88.1
Tier2,India,Bangalore,Bangalore School of Technology 43,13.0855,77.5794,AI & Data Science,8.2,6.5,337,42576,9052,77031,42,71,1.49,7,110.0
Tier3,India,Bangalore,Bangalore National Institute of Technology 44,12.9898,77.5863,AI & Data Science,8.9,6.7,339,12917,12353,101994,75,97,4.04,10,103.8
Tier2,India,Bangalore,Bangalore Technical University 45,13.0496,77.5543,Civil,9.2,6.9,293,34274,14939,66641,71,57,1.35,8,104.1
Tier3,India,Bangalore,Bangalore School of Technology 46,13.0418,77.584,Mechanical,7.2,7.7,331,22705,19610,96118,31,51,2.27,8,117.3
Tier1,India,Bangalore,Bangalore Institute of Technology 47,13.0866,77.7317,Computer Science,6.8,6.6,297,56976,19083,41152,61,75,0.54,5,89.9
Tier2,India,Bangalore,Bangalore Technical University 48,12.9044,77.4543,Mechanical,7.3,6.7,316,27557,11467,120675,88,91,3.09,8,85.3
Tier3,India,Bangalore,Bangalore School of Technology 49,13.0885,77.6552,Computer Science,9.1,6.2,301,32010,12638,118345,69,81,2.65,1,87.8
Tier3,India,Bangalore,Bangalore School of Technology 50,12.9719,77.4447,Civil,7.8,7.8,324,2033,9666,60044,71,54,5.13,8,100.7
Tier1,India,Bangalore,Bangalore Technical University 51,12.947,77.6245,Mechanical,9.3,7.3,310,35375,12041,44226,31,65,0.93,2,114.2
Tier1,India,Bangalore,Bangalore Institute of Technology 52,13.0949,77.4548,Computer Science,7.1,7.3,309,38381,20980,95950,44,82,1.62,2,96.7
Tier3,India,Bangalore,Bangalore School of Technology 53,13.0116,77.7301,AI & Data Science,6.8,7.6,298,57539,18437,45743,59,81,0.6,6,96.9
Tier2,India,Bangalore,Bangalore Polytechnic University 54,12.926,77.5973,Electrical,7.4,7.4,320,382,20777,126145,82,65,5.96,8,91.6
Tier2,India,Bangalore,Bangalore Technical University 55,13.0341,77.4547,Mechanical,7.9,6.5,308,27677,12621,95187,11,57,2.36,9,128.0
Tier1,India,Bangalore,Bangalore College of Engineering 56,13.0812,77.5692,AI & Data Science,7.2,7.9,293,15223,13202,117839,20,81,4.15,7,121.6
Tier3,India,Bangalore,Bangalore Technical University 57,13.0554,77.4834,AI & Data Science,9.0,7.6,337,34501,14377,120191,73,64,2.46,1,90.9
Tier1,India,Bangalore,Bangalore National Institute of Technology 58,12.8543,77.7343,Electrical,7.3,7.6,313,49607,18460,124547,86,79,1.83,8,89.9
Tier3,India,Bangalore,Bangalore School of Technology 59,12.8857,77.4635,AI & Data Science,8.7,8.0,298,33000,9064,111983,40,83,2.66,8,121.5
Tier1,India,Bangalore,Bangalore College of Engineering 60,12.9404,77.5343,AI & Data Science,8.2,7.9,296,16769,14479,78174,56,89,2.5,7,108.6
Tier1,India,Chennai,Chennai School of Technology 1,13.0947,80.1756,AI & Data Science,8.7,7.5,319,49535,14369,104687,34,60,1.64,5,116.5
Tier3,India,Chennai,Chennai Institute of Technology 2,12.9983,80.3958,Computer Science,7.3,6.4,293,30509,19724,43783,31,82,0.87,1,98.6
Tier2,India,Chennai,Chennai School of Technology 3,13.2103,80.2724,Electrical,8.8,7.2,324,31601,13540,109243,42,62,2.42,4,109.8
